"DistributionId","Destination","RouteNumber","PredictedArrival","ScheduledArrival","mu","sigma","nu","tau","ScenarioId"
"1","Ballard","44",8,0,24.6932577696576,0.0507094416715088,-1.7116378329624,1.62750920366137,"3"
"2","Ballard","44",18,18,35.614970858802,0.11174045008392,-11.3672758201336,2.00814170606968,"4"
"3","Ballard","44",18,11,35.5058921951792,0.111003479226601,-6.96517675235352,2.0046100979034,"3"
"4","Ballard","44",5,-2,21.6800548967431,0.0382969924184694,0.124682429403797,1.51039808913525,"4"
"5","Ballard","44",13,5,30.5953307960035,0.0805155552624822,-3.72928257760857,1.84049303140316,"3"
"6","Ballard","44",5,1,21.1663954636455,0.0363663808409941,-2.10838562984116,1.48975829018833,"LANDSCAPE"
"7","Ballard","44",10,10,26.8755280391721,0.0608737335417705,-8.04146699193067,1.70855246004453,"3"
"8","Ballard","44",18,18,35.5968166498162,0.111617612876296,-11.2790828642135,2.00755425260685,"3"
"9","Ballard","44",11,-2,28.2690952755932,0.0678879068072896,0.0291933508641364,1.75884194810498,"LANDSCAPE"
"10","Ballard","44",10,6,27.2018474798574,0.0624794218197325,-4.99943444182709,1.72042607163682,"4"
"11","Ballard","44",13,8,29.8199286309304,0.0761779781369424,-6.17147151584032,1.81358011321953,"3"
"12","Ballard","44",15,4,31.9660357826999,0.0884993976615717,-3.13310744108284,1.88736694004194,"4"
"13","Ballard","44",13,6,29.7619466698292,0.0758588024603669,-4.88338421435241,1.81155574129473,"3"
"14","Ballard","44",8,6,24.2032121867157,0.0485633949575428,-5.78161648342073,1.60889609879356,"3"
"15","Ballard","44",18,15,36.1573159985547,0.115443584416261,-9.31789945226492,2.02563305695763,"LANDSCAPE"
"16","Ballard","44",16,11,33.1333913605822,0.0956190049690952,-7.20898747158319,1.92661544320365,"4"
"17","Ballard","44",19,15,36.6342427937719,0.118753619486864,-9.13190515726201,2.04092239791524,"1"
"18","Ballard","44",18,15,35.7751191371809,0.112827205416257,-9.37537098941534,2.01331843944451,"2"
"19","Ballard","44",7,-2,23.9162011445226,0.0473295824739486,-0.0728403140476641,1.59792012646535,"LANDSCAPE"
"20","Ballard","44",15,9,32.7723302898348,0.0933853485508328,-6.26814947552314,1.91453982099849,"4"
"21","Ballard","44",9,-1,25.4861593966589,0.0542874469155081,-0.320506134241451,1.65729537434382,"1"
"22","Capitol Hill","49",19,12,36.5389197192818,0.11808803025436,-7.04045729891907,2.03787334099046,"1"
"23","Capitol Hill","49",15,5,32.5431800338254,0.0919824229750649,-3.77034831938401,1.90684650877496,"2"
"24","Capitol Hill","49",9,1,25.5415076117854,0.0545420988581081,-1.99794034162054,1.65935973479037,"4"
"25","Capitol Hill","49",16,8,33.9005599323196,0.100459155021669,-5.07085032172466,1.95208858643778,"1"
"26","Capitol Hill","49",15,3,31.8203601249565,0.0876316469720623,-2.82869868533619,1.88242651651507,"1"
"27","Capitol Hill","49",14,6,31.4085068390673,0.0852031433620105,-4.39233946524811,1.86840657540781,"3"
"28","Capitol Hill","49",9,2,25.2310677896944,0.0531220526622808,-2.61169288331817,1.64775624875699,"3"
"29","Capitol Hill","49",7,0,23.3524493116792,0.0449556165646194,-1.4207196136692,1.57619618582247,"1"
"30","Capitol Hill","49",10,-3,26.64573270599,0.0597564484760534,0.536026697304628,1.70015411964807,"1"
"31","Capitol Hill","49",14,11,31.6103001639809,0.086388448289529,-7.25912418929917,1.87528556951705,"2"
"32","Capitol Hill","49",10,-3,26.6225879384376,0.0596445318773973,0.474764440764039,1.69930653896368,"1"
"33","Capitol Hill","49",7,-6,23.0079187205253,0.0435370109154658,2.04948666736715,1.56280973009359,"1"
"34","Capitol Hill","49",7,-4,23.2528067396456,0.0445428295754392,0.812722291705487,1.57233335718516,"4"
"35","Capitol Hill","49",11,11,27.8368531603064,0.0656684121113734,-8.35352034697337,1.7433590520814,"2"
"36","Capitol Hill","49",18,4,36.1190410508369,0.115180118138873,-3.04744774215636,2.02440232241292,"3"
"37","Capitol Hill","49",18,3,35.8174148103521,0.113115163046951,-2.85970231017971,2.01468398174917,"1"
"38","Capitol Hill","49",14,12,30.9871603028807,0.0827565108647952,-8.54165075797779,1.8539821559562,"2"
"39","Capitol Hill","49",17,10,35.1344711873006,0.108513646243619,-6.14602492731523,1.9925498856917,"LANDSCAPE"
"40","Capitol Hill","49",7,-6,23.1198248116136,0.043995109281115,1.77384404646723,1.56716705955991,"4"
"41","Capitol Hill","49",11,0,27.7049287824445,0.0649988790284182,-1.1333813724384,1.73861315529713,"1"
"42","Capitol Hill","49",14,10,31.8008475880161,0.0875157643284687,-6.50251594249615,1.88176403977562,"LANDSCAPE"
"43","Capitol Hill","49",12,3,28.6072055597828,0.0696516644323806,-3.08871543884562,1.77088283588193,"LANDSCAPE"
"44","Capitol Hill","49",12,3,29.4613463322348,0.0742155935496198,-3.03157345903614,1.80103357401933,"1"
"45","Capitol Hill","49",15,14,32.4092278856216,0.0911676022778614,-9.33655830024596,1.90233861043046,"2"
"46","Capitol Hill","49",5,5,21.581238649173,0.0379214241333715,-5.08184558497271,1.50644379375541,"2"
"47","Capitol Hill","49",8,1,24.6570752291952,0.050549285366778,-1.91420583263527,1.62614031859468,"2"
"48","Capitol Hill","49",7,-5,23.7705188099629,0.0467098313688645,1.49970944298084,1.59232742128885,"LANDSCAPE"
"49","Capitol Hill","49",8,-4,23.9695645912938,0.05,0.765528069848134,1.59996509968366,"PRACTICE"
"50","Capitol Hill","49",13,12,30.1602159450271,0.0780656713321856,-8.31948304129382,1.82542719807141,"2"
"51","Capitol Hill","49",16,7,33.5586213802421,0.0982859893745934,-4.80721668261834,1.94076550013673,"3"
