"vis","arrival","participant","distribution","scenario","trial","mu","sigma","nu","tau","mode","duration","response","payoff","expected_payoff","optimal_payoff","expected_over_optimal"
"dot50",FALSE,"p369","d001","s3",34,24.69325777,0.05070944167,-1.711637833,1.627509204,10,4.76794,10,2120,1372.010828,1949.348718,0.703830369256692
"dot50",FALSE,"p369","d106","s3",35,30.73841958,0.08133008529,-2.877003879,1.845427493,15,9.63221,15,2126,1590.022856,1944.729102,0.817606346490515
"dot50",FALSE,"p369","d067","s3",36,24.73388004,0.05088957365,-4.638728117,1.629045038,10,32.470007,9,2095,1604.462161,1967.857475,0.815334535850977
"dot50",FALSE,"p369","d005","s3",37,30.5953308,0.08051555526,-3.729282578,1.840493031,15,4.233019,15,1106,1565.669449,1953.690745,0.801390625925292
"dot50",FALSE,"p369","d028","s3",38,25.23106779,0.05312205266,-2.611692883,1.647756249,10,4.482275,10,2120,1486.89281,1956.265865,0.760066837847728
"dot50",FALSE,"p369","d011","s3",39,29.81992863,0.07617797814,-6.171471516,1.813580113,14,6.177108,14,2152,1584.323,1975.654759,0.801923004402815
"text99",FALSE,"p375","d110","s2",0,32.85901261,0.09391901402,-2.175973861,1.917444046,17,12.779594,15,834,663.9331091,767.8845627,0.864626196892811
"text99",FALSE,"p375","d059","s2",1,37.10946712,0.1221018169,-7.702062736,2.056073017,20,8.522947,22,974,397.9526914,823.037341,0.48351717665262
"text99",FALSE,"p375","d149","s2",2,25.43371537,0.05404674665,0.5947185069,1.65533757,10,10.383275,8,-244,716.4665351,760.7855891,0.941745671007742
"text99",FALSE,"p375","d089","s2",3,26.32905022,0.05823488887,-2.625763682,1.688529559,11,20.441313,11,914,426.8746207,779.9079527,0.547339745956151
"text99",FALSE,"p375","d045","s2",4,32.40922789,0.09116760228,-9.3365583,1.90233861,16,25.602031,11,704,824.066797,828.030666,0.995212895895331
"text99",FALSE,"p375","d058","s2",5,30.60130311,0.08054946459,-8.749926067,1.840699185,15,17.351014,12,810,788.3676403,819.3503979,0.962186193258209
"text99",FALSE,"p375","d127","s2",6,27.17903824,0.06236645741,-6.815189141,1.719598104,12,8.19041,15,204,220.4456259,802.7279434,0.274620595573502
"text99",FALSE,"p375","d074","s2",7,26.09859069,0.05714082808,-1.758399,1.680032512,11,8.391111,12,152,273.708854,773.6226355,0.353801506626159
"text99",FALSE,"p375","d053","s2",8,31.02703991,0.08298644183,-8.085630933,1.855350965,15,229.548004,10,822,814.6252859,816.2454712,0.998015075908944
"text99",FALSE,"p375","d117","s2",9,26.54547375,0.05927245804,-6.742880215,1.696480285,11,32.297195,9,758,752.3883163,802.0177553,0.938119276447395
